,name,artist,dancibility,energy,key,loudness,speechiness,instrumentalness,liveness,valence,tempo,prediction,rating,userid,target
0,abcdefu,GAYLE,0.695,0.54,4,-5.692,0.0493,0,0.367,0.415,121.932,Row(prediction=0),5.021052507,0,1
1,Champagne Poetry,Drake,0.423,0.667,6,-7.012,0.326,0,0.246,0.496,86.743,Row(prediction=2),9.979441337,0,1
2,Chamber Of Reflection,Mac DeMarco,0.538,0.557,11,-8.678,0.0914,0.914,0.102,0.506,131.03,Row(prediction=2),1.128520011,0,1
3,In My Room,Frank Ocean,0.861,0.647,7,-7.425,0.0675,0.661,0.114,0.67,158.037,Row(prediction=4),1.128520011,0,1
4,Adore You,Harry Styles,0.676,0.771,8,-3.675,0.0483,7E-06,0.102,0.569,99.048,Row(prediction=2),3.622152942,0,1
5,Heat Waves,Glass Animals,0.761,0.525,11,-6.9,0.0944,6.7E-06,0.0921,0.531,80.87,Row(prediction=2),9.979441337,0,1
6,SLOW DANCING IN THE DARK,Joji,0.515,0.479,3,-7.458,0.0261,0.00598,0.191,0.284,88.964,Row(prediction=7),5.021052507,0,1
7,White Christmas,Bing Crosby,0.317,0.158,9,-16.485,0.0381,0.353,0.338,0.247,130.503,Row(prediction=6),3.817198528,0,1
8,Bubbly (with Drake & Travis Scott),Young Thug,0.91,0.585,11,-7.572,0.257,0,0.127,0.599,129.011,Row(prediction=2),8.899590206,0,1
9,Flashing Lights,Kanye West,0.639,0.628,6,-7.578,0.0399,0,0.386,0.43,90.482,Row(prediction=0),9.979441337,0,1
10,Come & Go (with Marshmello),Juice WRLD,0.625,0.814,0,-5.181,0.0657,0,0.158,0.535,144.991,Row(prediction=5),5.103246191,0,1
11,Enemy (with JID) - from the series Arcane League of Legends,Imagine Dragons,0.728,0.783,11,-4.424,0.266,0,0.434,0.555,77.011,Row(prediction=2),3.622152942,0,1
12,Just Give Me a Reason (feat. Nate Ruess),P!nk,0.778,0.547,2,-7.273,0.0489,0.000302,0.132,0.441,95.002,Row(prediction=7),5.021052507,0,1
13,Better Days (NEIKED x Mae Muller x Polo G),NEIKED,0.717,0.671,0,-5.077,0.0337,2.54E-06,0.0921,0.699,110.054,Row(prediction=5),5.103246191,0,1
14,By Your Side,Rod Wave,0.649,0.508,8,-10.232,0.0959,3.59E-05,0.0736,0.405,157.975,Row(prediction=4),8.899590206,0,1
15,AM Remix,Nio Garcia,0.743,0.655,6,-5.015,0.159,0,0.0764,0.785,172.031,Row(prediction=3),8.899590206,0,1
16,Good Days,SZA,0.436,0.655,1,-8.37,0.0583,8.1E-06,0.688,0.412,121.002,Row(prediction=1),3.307176898,0,1
17,Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,0.677,0.696,0,-6.181,0.119,0,0.42,0.464,90.03,Row(prediction=1),3.307176898,0,1
18,A Holly Jolly Christmas - Single Version,Burl Ives,0.683,0.375,0,-13.056,0.0303,0,0.076,0.888,140.467,Row(prediction=5),3.817198528,0,1
19,Yeah! (feat. Lil Jon & Ludacris),Usher,0.894,0.791,2,-4.699,0.112,0,0.0388,0.583,105.018,Row(prediction=5),5.103246191,0,1
20,SLOW DANCING IN THE DARK,Joji,0.515,0.479,3,-7.458,0.0261,0.00598,0.191,0.284,88.964,Row(prediction=7),5.021052507,0,1
21,Do They Know It's Christmas? - 1984 Version,Band Aid,0.599,0.642,0,-6.936,0.0363,3.33E-05,0.0992,0.349,115.412,Row(prediction=1),5.021052507,0,1
22,happier,Olivia Rodrigo,0.395,0.443,6,-9.72,0.133,9.67E-06,0.0839,0.338,168.924,Row(prediction=4),8.899590206,0,1
23,Headshot (feat. Polo G & Fivio Foreign),Lil Tjay,0.808,0.639,1,-7.266,0.279,0,0.15,0.395,118,Row(prediction=1),5.021052507,0,1
24,Jungle,A Boogie Wit da Hoodie,0.538,0.52,7,-11.063,0.737,0,0.214,0.551,180.274,Row(prediction=6),8.899590206,0,1
25,WUSYANAME (feat. Youngboy Never Broke Again & Ty Dolla $ign),"Tyler, The Creator",0.493,0.653,0,-5.666,0.0466,0,0.511,0.852,142.347,Row(prediction=5),3.307176898,0,1
26,Ms. Jackson,Outkast,0.843,0.806,4,-5.946,0.269,0,0.0771,0.613,94.948,Row(prediction=3),5.103246191,0,1
27,I Hope,Gabby Barrett,0.466,0.536,6,-6.227,0.0429,0,0.114,0.377,75.998,Row(prediction=7),9.979441337,0,1
28,Meet Me At Our Spot,THE ANXIETY,0.773,0.47,2,-7.93,0.0299,0.000193,0.0851,0.399,94.995,Row(prediction=7),5.021052507,0,1
29,Circles,Post Malone,0.695,0.762,0,-3.497,0.0395,0.00244,0.0863,0.553,120.042,Row(prediction=5),5.103246191,0,1
30,Hex,80purppp,0.845,0.398,5,-15.781,0.268,0.00713,0.159,0.482,109.996,Row(prediction=6),3.817198528,0,1
31,Way 2 Sexy (with Future & Young Thug),Drake,0.803,0.597,11,-6.035,0.141,4.5E-06,0.323,0.331,136.008,Row(prediction=0),8.899590206,0,1
32,F.N,Lil Tjay,0.567,0.515,6,-10.265,0.247,0,0.078,0.321,120.1,Row(prediction=6),8.899590206,0,1
33,Life Goes On,Oliver Tree,0.7,0.49,0,-5.187,0.076,0,0.117,0.569,79.982,Row(prediction=5),5.103246191,0,1
34,everything i wanted,Billie Eilish,0.704,0.225,6,-14.454,0.0994,0.657,0.106,0.243,120.006,Row(prediction=6),3.817198528,0,1
35,Bad Habits,Ed Sheeran,0.807,0.893,11,-3.745,0.0347,2.79E-05,0.366,0.537,126.011,Row(prediction=2),3.622152942,0,1
36,Let It Snow! Let It Snow! Let It Snow!,Dean Martin,0.451,0.24,1,-14.014,0.0351,2.45E-06,0.175,0.701,134.009,Row(prediction=5),3.817198528,0,1
37,Cada Quien,Grupo Firme,0.719,0.797,3,-3.89,0.0515,0,0.078,0.729,110.045,Row(prediction=3),5.103246191,0,1
38,Empty,Juice WRLD,0.745,0.561,0,-4.869,0.0807,0,0.133,0.449,77.557,Row(prediction=5),5.103246191,0,1
39,Come & Go (with Marshmello),Juice WRLD,0.625,0.814,0,-5.181,0.0657,0,0.158,0.535,144.991,Row(prediction=5),5.103246191,0,1
40,MONTERO (Call Me By Your Name),Lil Nas X,0.593,0.503,8,-6.725,0.22,0,0.405,0.71,178.781,Row(prediction=0),8.899590206,0,1
41,GHOST TOWN,Benson Boone,0.391,0.335,0,-10.064,0.0763,0,0.102,0.116,174.185,Row(prediction=1),5.021052507,0,1
42,Super Gremlin,Kodak Black,0.825,0.414,2,-6.634,0.144,0,0.357,0.106,72.993,Row(prediction=7),5.021052507,0,1
43,"...And to Those I Love, Thanks for Sticking Around",$uicideboy$,0.792,0.511,2,-6.876,0.0409,9.04E-05,0.14,0.111,113.983,Row(prediction=7),5.021052507,0,1
44,2055,Sleepy Hallow,0.829,0.512,6,-5.865,0.187,0,0.12,0.638,80.511,Row(prediction=2),9.979441337,0,1
45,Can I Call You Tonight?,Dayglow,0.641,0.842,9,-7.27,0.0292,0.91,0.419,0.5,129.98,Row(prediction=0),1.128520011,0,1
46,Oh My God,Adele,0.534,0.725,1,-3.906,0.046,0,0.0264,0.55,88.098,Row(prediction=5),5.103246191,0,1
47,State Of Grace (Taylor's Version),Taylor Swift,0.594,0.713,9,-5.314,0.0503,0,0.114,0.328,129.958,Row(prediction=4),8.899590206,0,1
48,I AM WOMAN,Emmy Meli,0.646,0.471,10,-9.247,0.157,0,0.125,0.455,170.084,Row(prediction=4),8.899590206,0,1
49,Everybody Wants To Rule The World,Tears For Fears,0.645,0.795,7,-12.095,0.0527,0.00389,0.104,0.535,112.067,Row(prediction=2),9.979441337,0,1
50,Jingle Bell Rock,Bobby Helms,0.754,0.424,2,-8.463,0.0363,0,0.0652,0.806,119.705,Row(prediction=5),3.702913106,1,0
51,Flex (feat. Juice WRLD),Polo G,0.752,0.673,10,-5.792,0.153,0,0.133,0.35,164.009,Row(prediction=4),5.771164862,1,0
52,death bed (coffee for your head),Powfu,0.726,0.431,8,-8.765,0.135,0,0.696,0.348,144.026,Row(prediction=0),3.622152942,1,0
53,m y . l i f e (with 21 Savage & Morray),J. Cole,0.597,0.587,7,-7.026,0.137,0,0.214,0.0753,140.021,Row(prediction=6),5.771164862,1,0
54,Have Yourself A Merry Little Christmas - Remastered 1999,Frank Sinatra,0.262,0.137,8,-15.235,0.0344,6.74E-06,0.267,0.288,92.183,Row(prediction=6),3.817198528,1,0
55,Save Your Tears (with Ariana Grande) (Remix),The Weeknd,0.65,0.825,0,-4.645,0.0325,2.44E-05,0.0936,0.593,118.091,Row(prediction=5),5.431576449,1,0
56,July,Noah Cyrus,0.708,0.186,9,-8.953,0.042,0,0.0779,0.322,72.541,Row(prediction=6),3.817198528,1,0
57,Ramen & OJ,Joyner Lucas,0.597,0.571,1,-6.205,0.293,0,0.093,0.165,106.196,Row(prediction=1),9.979441337,1,0
58,By Your Side,Rod Wave,0.649,0.508,8,-10.232,0.0959,3.59E-05,0.0736,0.405,157.975,Row(prediction=4),3.817198528,1,0
59,God's Plan,Drake,0.754,0.449,7,-9.211,0.109,8.29E-05,0.552,0.357,77.169,Row(prediction=0),3.622152942,1,0
60,Flocky Flocky (feat. Travis Scott),Don Toliver,0.8,0.541,10,-5.05,0.0375,0,0.146,0.194,135.99,Row(prediction=6),5.771164862,1,0
61,Beautiful Mistakes (feat. Megan Thee Stallion),Maroon 5,0.713,0.676,10,-5.483,0.027,0,0.154,0.721,99.048,Row(prediction=2),5.771164862,1,0
62,It Was A Good Day,Ice Cube,0.798,0.744,7,-5.328,0.136,0.000106,0.292,0.794,82.356,Row(prediction=2),5.431576449,1,0
63,If I Didn't Love You,Jason Aldean,0.456,0.679,1,-4.802,0.0324,0,0.103,0.483,184.075,Row(prediction=5),5.103246191,1,0
64,Rolling in the Deep,Adele,0.73,0.769,8,-5.114,0.0298,0,0.0473,0.507,104.948,Row(prediction=2),5.771164862,1,0
65,I Bet You Think About Me (feat. Chris Stapleton) (Taylor’s Version) (From The Vault),Taylor Swift,0.391,0.715,0,-4.516,0.0495,0,0.183,0.473,149.654,Row(prediction=5),5.103246191,1,0
66,Gang Shit No Lame Shit,Key Glock,0.828,0.434,5,-10.609,0.301,0,0.0806,0.38,115.071,Row(prediction=6),3.817198528,1,0
67,Smokin Out The Window,Bruno Mars,0.627,0.618,2,-8.529,0.0437,0,0.351,0.848,82.03,Row(prediction=5),3.702913106,1,0
68,Hurricane,Kanye West,0.587,0.561,0,-6.569,0.146,0,0.109,0.351,80.009,Row(prediction=1),9.979441337,1,0
69,JAPAN,Famous Dex,0.733,0.678,6,-7.771,0.438,0,0.344,0.841,175.985,Row(prediction=3),0.9657195033,1,0
70,I Wonder,Kanye West,0.542,0.466,0,-8.665,0.0831,0.000445,0.125,0.124,191.385,Row(prediction=1),5.103246191,1,0
71,i hope ur miserable until ur dead,Nessa Barrett,0.706,0.544,2,-7.275,0.0306,0,0.087,0.477,115.935,Row(prediction=5),5.103246191,1,0
72,Smokin Out The Window,Bruno Mars,0.627,0.618,2,-8.529,0.0437,0,0.351,0.848,82.03,Row(prediction=5),3.702913106,1,0
73,Easy On Me,Adele,0.604,0.366,5,-7.519,0.0282,0,0.133,0.13,141.981,Row(prediction=6),5.103246191,1,0
74,Flex (feat. Juice WRLD),Polo G,0.752,0.673,10,-5.792,0.153,0,0.133,0.35,164.009,Row(prediction=4),5.771164862,1,0
75,Exchange,Bryson Tiller,0.525,0.433,6,-10.598,0.185,0,0.135,0.276,160.108,Row(prediction=6),3.817198528,1,0
76,Going Bad (feat. Drake),Meek Mill,0.889,0.496,4,-6.365,0.0905,0,0.252,0.544,86.003,Row(prediction=7),3.702913106,1,0
77,"...And to Those I Love, Thanks for Sticking Around",$uicideboy$,0.792,0.511,2,-6.876,0.0409,9.04E-05,0.14,0.111,113.983,Row(prediction=7),5.103246191,1,0
78,Have Mercy,Chlöe,0.903,0.535,9,-6.434,0.0742,0,0.345,0.508,130.022,Row(prediction=0),5.771164862,1,0
79,Fair Trade (with Travis Scott),Drake,0.666,0.465,1,-8.545,0.26,0,0.215,0.292,167.937,Row(prediction=1),9.979441337,1,0
80,Get Into It (Yuh),Doja Cat,0.912,0.655,8,-6.029,0.162,3.39E-05,0.0894,0.793,91.942,Row(prediction=2),5.771164862,1,0
81,Better Days (NEIKED x Mae Muller x Polo G),NEIKED,0.717,0.671,0,-5.077,0.0337,2.54E-06,0.0921,0.699,110.054,Row(prediction=5),5.431576449,1,0
82,Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),Tainy,0.639,0.703,4,-6.33,0.0794,1.78E-06,0.0865,0.138,169.888,Row(prediction=4),5.103246191,1,0
83,I Knew You Were Trouble (Taylor's Version),Taylor Swift,0.584,0.557,6,-6.371,0.0342,0,0.0576,0.767,154.008,Row(prediction=3),5.771164862,1,0
84,Martin & Gina,Polo G,0.832,0.534,1,-7.813,0.253,0,0.165,0.116,93.924,Row(prediction=1),9.979441337,1,0
85,Yeah! (feat. Lil Jon & Ludacris),Usher,0.894,0.791,2,-4.699,0.112,0,0.0388,0.583,105.018,Row(prediction=5),5.431576449,1,0
86,I Bet You Think About Me (feat. Chris Stapleton) (Taylor’s Version) (From The Vault),Taylor Swift,0.391,0.715,0,-4.516,0.0495,0,0.183,0.473,149.654,Row(prediction=5),5.103246191,1,0
87,Do It To It,ACRAZE,0.854,0.806,11,-8.262,0.0886,0.0542,0.0703,0.637,124.927,Row(prediction=2),5.771164862,1,0
88,Bad Habits,Ed Sheeran,0.807,0.893,11,-3.745,0.0347,2.79E-05,0.366,0.537,126.011,Row(prediction=2),5.771164862,1,0
89,Jingle Bell Rock,Bobby Helms,0.754,0.424,2,-8.463,0.0363,0,0.0652,0.806,119.705,Row(prediction=5),3.702913106,1,0
90,Oh My God,Adele,0.534,0.725,1,-3.906,0.046,0,0.0264,0.55,88.098,Row(prediction=5),5.431576449,1,0
91,SLOW DANCING IN THE DARK,Joji,0.515,0.479,3,-7.458,0.0261,0.00598,0.191,0.284,88.964,Row(prediction=7),5.103246191,1,0
92,Congratulations,Post Malone,0.63,0.804,6,-4.183,0.0363,0,0.253,0.492,123.146,Row(prediction=0),5.771164862,1,0
93,Element,Pop Smoke,0.772,0.878,2,-4.22,0.324,2.18E-06,0.251,0.305,61.311,Row(prediction=1),9.979441337,1,0
94,Heartbreak Anniversary,Giveon,0.449,0.465,0,-8.964,0.0791,1.02E-06,0.303,0.543,89.087,Row(prediction=5),3.702913106,1,0
95,Cloud 9,Beach Bunny,0.637,0.929,4,-3.593,0.0491,2.62E-05,0.344,0.902,80.974,Row(prediction=3),5.431576449,1,0
96,Falling Down - Bonus Track,Lil Peep,0.669,0.574,4,-6.442,0.0286,0.00294,0.146,0.273,120.013,Row(prediction=7),5.103246191,1,0
97,Cold As You,Luke Combs,0.598,0.846,6,-4.956,0.0355,0,0.113,0.328,144.04,Row(prediction=4),5.771164862,1,0
98,GO (feat. Juice WRLD),The Kid LAROI,0.487,0.74,6,-4.973,0.0944,0,0.612,0.522,73.779,Row(prediction=0),3.622152942,1,0
99,Knife Talk (with 21 Savage ft. Project Pat),Drake,0.849,0.424,5,-9.579,0.324,0,0.0834,0.153,145.887,Row(prediction=6),9.979441337,1,0
100,F.N,Lil Tjay,0.567,0.515,6,-10.265,0.247,0,0.078,0.321,120.1,Row(prediction=6),4.225637607,2,0
101,Christmas (Baby Please Come Home),Darlene Love,0.325,0.759,8,-7.146,0.053,0.000362,0.0773,0.36,126.627,Row(prediction=4),3.973206133,2,0
102,Gives You Hell,The All-American Rejects,0.718,0.691,4,-6.44,0.0387,0,0.0627,0.552,100.008,Row(prediction=5),9.375197371,2,0
103,Dark Red,Steve Lacy,0.603,0.783,6,-4.023,0.062,7.96E-06,0.119,0.775,172.041,Row(prediction=3),9.993783429,2,0
104,All of Me,John Legend,0.422,0.264,8,-7.064,0.0322,0,0.132,0.331,119.93,Row(prediction=6),4.225637607,2,0
105,Butter,BTS,0.759,0.459,8,-5.187,0.0948,0,0.0906,0.695,109.997,Row(prediction=2),3.973206133,2,0
106,Happy Holiday / The Holiday Season,Andy Williams,0.505,0.451,9,-10.193,0.0329,0,0.233,0.744,74.347,Row(prediction=2),1.740184263,2,0
107,It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra),Perry Como,0.724,0.276,7,-12.25,0.0599,0,0.116,0.718,112.874,Row(prediction=6),1.740184263,2,0
108,SLOW DANCING IN THE DARK,Joji,0.515,0.479,3,-7.458,0.0261,0.00598,0.191,0.284,88.964,Row(prediction=7),6.187451325,2,0
109,Woman,Doja Cat,0.824,0.764,5,-4.175,0.0854,0.00294,0.117,0.881,107.998,Row(prediction=3),9.375197371,2,0
110,INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,0.741,0.691,10,-7.395,0.0672,0,0.0476,0.892,150.087,Row(prediction=2),9.993783429,2,0
111,Cold Heart - PNAU Remix,Elton John,0.796,0.798,1,-6.312,0.0317,4.19E-05,0.0952,0.942,116.032,Row(prediction=3),9.375197371,2,0
112,Ambition For Cash,Key Glock,0.841,0.732,7,-5.186,0.19,2.18E-05,0.136,0.576,149.012,Row(prediction=4),9.993783429,2,0
113,Alien Blues,Vundabar,0.464,0.682,10,-8.541,0.033,0.832,0.0856,0.455,80.062,Row(prediction=2),3.973206133,2,0
114,Buy Dirt,Jordan Davis,0.586,0.559,4,-6.725,0.05,0,0.0872,0.437,177.945,Row(prediction=4),4.225637607,2,0
115,Godzilla (feat. Juice WRLD),Eminem,0.808,0.745,10,-5.26,0.342,0,0.292,0.829,165.995,Row(prediction=2),9.993783429,2,0
116,After Last Night (with Thundercat & Bootsy Collins),Bruno Mars,0.651,0.703,0,-8.958,0.0816,0,0.0608,0.647,140.051,Row(prediction=5),9.375197371,2,0
117,Electric Feel,MGMT,0.763,0.803,1,-3.713,0.0351,0.285,0.348,0.561,103.04,Row(prediction=5),2.060923122,2,0
118,Come & Go (with Marshmello),Juice WRLD,0.625,0.814,0,-5.181,0.0657,0,0.158,0.535,144.991,Row(prediction=5),9.375197371,2,0
119,I Think I'm OKAY (with YUNGBLUD & Travis Barker),Machine Gun Kelly,0.628,0.744,7,-4.718,0.0379,0,0.313,0.277,119.921,Row(prediction=0),3.973206133,2,0
120,ESCAPE PLAN,Travis Scott,0.839,0.506,5,-6.714,0.133,0,0.13,0.44,154.12,Row(prediction=4),4.225637607,2,0
121,"Who Want Smoke?? (feat. G Herbo, Lil Durk & 21 Savage)",Nardo Wick,0.739,0.74,5,-5.86,0.333,0,0.161,0.488,75.575,Row(prediction=2),6.187451325,2,0
122,Lucid Dreams,Juice WRLD,0.511,0.566,6,-7.23,0.2,0,0.34,0.218,83.903,Row(prediction=0),6.187451325,2,0
123,Cold Heart - PNAU Remix,Elton John,0.796,0.798,1,-6.312,0.0317,4.19E-05,0.0952,0.942,116.032,Row(prediction=3),9.375197371,2,0
124,Don't,Bryson Tiller,0.765,0.356,11,-5.556,0.195,0,0.0963,0.189,96.991,Row(prediction=6),3.973206133,2,0
125,Do I Wanna Know?,Arctic Monkeys,0.548,0.532,5,-7.596,0.0323,0.000263,0.217,0.405,85.03,Row(prediction=7),6.187451325,2,0
126,Strangers By Nature,Adele,0.387,0.253,5,-8.901,0.0336,0.000159,0.0848,0.134,68.004,Row(prediction=7),6.187451325,2,0
127,edamame (feat. Rich Brian),bbno$,0.815,0.848,4,-4.704,0.115,0.000162,0.0265,0.684,106.032,Row(prediction=3),9.375197371,2,0
128,Heartless,Kanye West,0.79,0.647,10,-5.983,0.136,0,0.248,0.654,87.999,Row(prediction=2),3.973206133,2,0
129,Devil Town,Cavetown,0.576,0.759,3,-8.165,0.0599,0,0.121,0.501,99.969,Row(prediction=5),9.375197371,2,0
130,Forever After All,Luke Combs,0.487,0.65,0,-5.195,0.0253,0,0.0933,0.456,151.964,Row(prediction=5),9.375197371,2,0
131,good 4 u,Olivia Rodrigo,0.563,0.664,9,-5.044,0.154,0,0.0849,0.688,166.928,Row(prediction=4),9.993783429,2,0
132,HOLIDAY,Lil Nas X,0.81,0.511,5,-6.924,0.164,0,0.0832,0.837,151.947,Row(prediction=3),9.993783429,2,0
133,Beggin',Måneskin,0.714,0.8,11,-4.808,0.0504,0,0.359,0.589,134.002,Row(prediction=2),9.993783429,2,0
134,Can I Get It,Adele,0.703,0.68,9,-6.118,0.0431,0,0.178,0.536,97.985,Row(prediction=2),3.973206133,2,0
135,Element,Pop Smoke,0.772,0.878,2,-4.22,0.324,2.18E-06,0.251,0.305,61.311,Row(prediction=1),6.187451325,2,0
136,Smokin Out The Window,Bruno Mars,0.627,0.618,2,-8.529,0.0437,0,0.351,0.848,82.03,Row(prediction=5),9.375197371,2,0
137,Ramen & OJ,Joyner Lucas,0.597,0.571,1,-6.205,0.293,0,0.093,0.165,106.196,Row(prediction=1),6.187451325,2,0
138,Do They Know It's Christmas? - 1984 Version,Band Aid,0.599,0.642,0,-6.936,0.0363,3.33E-05,0.0992,0.349,115.412,Row(prediction=1),6.187451325,2,0
139,Always Forever,Cults,0.174,0.742,8,-5.93,0.0485,0.281,0.198,0.36,163.378,Row(prediction=4),0.2184555419,2,0
140,Cloud 9,Beach Bunny,0.637,0.929,4,-3.593,0.0491,2.62E-05,0.344,0.902,80.974,Row(prediction=3),2.060923122,2,0
141,Better Man (Taylor's Version) (From The Vault),Taylor Swift,0.473,0.579,4,-5.824,0.0384,0,0.0877,0.255,73.942,Row(prediction=7),6.187451325,2,0
142,Don’t Play (with Lil Baby),Polo G,0.684,0.624,2,-7.414,0.347,0,0.112,0.708,146.925,Row(prediction=5),4.225637607,2,0
143,Better Days (NEIKED x Mae Muller x Polo G),NEIKED,0.717,0.671,0,-5.077,0.0337,2.54E-06,0.0921,0.699,110.054,Row(prediction=5),9.375197371,2,0
144,Just Give Me a Reason (feat. Nate Ruess),P!nk,0.778,0.547,2,-7.273,0.0489,0.000302,0.132,0.441,95.002,Row(prediction=7),6.187451325,2,0
145,Praise God,Kanye West,0.798,0.545,1,-6.466,0.168,9.48E-05,0.258,0.212,118.029,Row(prediction=1),6.187451325,2,0
146,Easy On Me,Adele,0.604,0.366,5,-7.519,0.0282,0,0.133,0.13,141.981,Row(prediction=6),4.225637607,2,0
147,Yes Indeed,Lil Baby,0.963,0.346,5,-9.309,0.53,0,0.108,0.562,119.957,Row(prediction=6),4.225637607,2,0
148,Forever After All,Luke Combs,0.487,0.65,0,-5.195,0.0253,0,0.0933,0.456,151.964,Row(prediction=5),9.375197371,2,0
149,After Party,Don Toliver,0.629,0.692,5,-8.045,0.0376,0.331,0.603,0.453,162.948,Row(prediction=0),0.2184555419,2,0
150,GO (feat. Juice WRLD),The Kid LAROI,0.487,0.74,6,-4.973,0.0944,0,0.612,0.522,73.779,Row(prediction=0),8.134003581,3,0
151,Good Days,SZA,0.436,0.655,1,-8.37,0.0583,8.1E-06,0.688,0.412,121.002,Row(prediction=1),5.911137402,3,0
152,Fair Trade (with Travis Scott),Drake,0.666,0.465,1,-8.545,0.26,0,0.215,0.292,167.937,Row(prediction=1),5.911137402,3,0
153,Forever After All,Luke Combs,0.487,0.65,0,-5.195,0.0253,0,0.0933,0.456,151.964,Row(prediction=5),8.621806591,3,0
154,A Holly Jolly Christmas - Single Version,Burl Ives,0.683,0.375,0,-13.056,0.0303,0,0.076,0.888,140.467,Row(prediction=5),3.423703732,3,0
155,Bound 2,Kanye West,0.367,0.665,1,-2.821,0.0465,0,0.113,0.31,148.913,Row(prediction=1),8.621806591,3,0
156,For Tonight,Giveon,0.442,0.517,9,-7.807,0.0548,0,0.114,0.2,79.867,Row(prediction=6),8.621806591,3,0
157,Knife Talk (with 21 Savage ft. Project Pat),Drake,0.849,0.424,5,-9.579,0.324,0,0.0834,0.153,145.887,Row(prediction=6),3.021330993,3,0
158,STAY (with Justin Bieber),The Kid LAROI,0.591,0.764,1,-5.484,0.0483,0,0.103,0.478,169.928,Row(prediction=5),8.621806591,3,0
159,Rockin' Around The Christmas Tree,Brenda Lee,0.589,0.472,8,-8.749,0.0502,0,0.505,0.898,67.196,Row(prediction=2),8.134003581,3,0
160,Golden,Harry Styles,0.448,0.838,4,-5.257,0.0557,0.000131,0.131,0.254,139.863,Row(prediction=4),8.621806591,3,0
161,"Who Want Smoke?? (feat. G Herbo, Lil Durk & 21 Savage)",Nardo Wick,0.739,0.74,5,-5.86,0.333,0,0.161,0.488,75.575,Row(prediction=2),3.021330993,3,0
162,Enemy (with JID) - from the series Arcane League of Legends,Imagine Dragons,0.728,0.783,11,-4.424,0.266,0,0.434,0.555,77.011,Row(prediction=2),3.021330993,3,0
163,Rockin' Around The Christmas Tree,Brenda Lee,0.589,0.472,8,-8.749,0.0502,0,0.505,0.898,67.196,Row(prediction=2),8.134003581,3,0
164,Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),Frank Sinatra,0.652,0.259,2,-13.336,0.0595,0,0.362,0.836,142.169,Row(prediction=5),3.423703732,3,0
165,Dead To Me,Kali Uchis,0.675,0.761,4,-4.469,0.0466,0,0.102,0.428,119.001,Row(prediction=4),8.621806591,3,0
166,Kiss Me More (feat. SZA),Doja Cat,0.762,0.701,8,-3.541,0.0286,0.000158,0.123,0.742,110.968,Row(prediction=2),8.134003581,3,0
